,failure count,model
0,18,ST12000NM0008
1,17,ST4000DM000
2,13,ST8000NM0055
3,9,TOSHIBA MG07ACA14TA
4,4,ST16000NM001G
5,3,ST8000DM002
6,2,HGST HUH721212ALN604
7,2,ST12000NM001G
8,2,ST14000NM001G
9,2,TOSHIBA MG08ACA16TE
10,1,Seagate BarraCuda 120 SSD ZA250CM10003
11,1,WDC WD5000LPVX
12,1,TOSHIBA MQ01ABF050M
13,1,TOSHIBA MQ01ABF050
14,1,TOSHIBA MG08ACA16TA
15,1,CT250MX500SSD1
16,1,ST500LM030
17,1,HGST HUH721212ALE604
18,1,ST14000NM0138
19,1,ST14000NM0018
20,1,ST12000NM0007
21,1,ST10000NM0086
22,1,WDC WUH721816ALE6L4
