date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_190_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized
2023-01-01,ZCH016HE,ST12000NM0007,12000138625024,0,81.0,91.0,100.0,85.0,64.0,100.0,76.0,100.0,24.0,81.0
2023-01-02,ZCH016HE,ST12000NM0007,12000138625024,0,83.0,91.0,100.0,85.0,64.0,100.0,77.0,100.0,23.0,83.0
2023-01-03,ZCH016HE,ST12000NM0007,12000138625024,0,83.0,91.0,100.0,85.0,64.0,100.0,77.0,100.0,23.0,83.0
2023-01-04,ZCH016HE,ST12000NM0007,12000138625024,0,82.0,91.0,100.0,85.0,64.0,100.0,76.0,100.0,24.0,82.0
2023-01-05,ZCH016HE,ST12000NM0007,12000138625024,0,81.0,91.0,100.0,85.0,64.0,100.0,75.0,100.0,25.0,81.0
2023-01-06,ZCH016HE,ST12000NM0007,12000138625024,0,80.0,91.0,100.0,86.0,64.0,100.0,76.0,100.0,24.0,80.0
2023-01-07,ZCH016HE,ST12000NM0007,12000138625024,0,82.0,91.0,100.0,86.0,63.0,100.0,76.0,100.0,24.0,82.0
2023-01-08,ZCH016HE,ST12000NM0007,12000138625024,0,79.0,91.0,100.0,86.0,63.0,100.0,77.0,100.0,23.0,79.0
2023-01-09,ZCH016HE,ST12000NM0007,12000138625024,0,81.0,91.0,100.0,86.0,63.0,100.0,77.0,100.0,23.0,81.0
2023-01-10,ZCH016HE,ST12000NM0007,12000138625024,0,84.0,91.0,100.0,86.0,63.0,100.0,77.0,100.0,23.0,84.0
2023-01-01,ZCH03NNR,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,83.0,68.0,100.0,65.0,100.0,35.0,81.0
2023-01-02,ZCH03NNR,ST12000NM0007,12000138625024,0,78.0,89.0,100.0,83.0,68.0,100.0,65.0,100.0,35.0,78.0
2023-01-03,ZCH03NNR,ST12000NM0007,12000138625024,0,78.0,89.0,100.0,83.0,68.0,100.0,65.0,100.0,35.0,78.0
2023-01-04,ZCH03NNR,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,83.0,68.0,100.0,66.0,100.0,34.0,82.0
2023-01-05,ZCH03NNR,ST12000NM0007,12000138625024,0,76.0,89.0,100.0,83.0,68.0,100.0,65.0,100.0,35.0,76.0
2023-01-06,ZCH03NNR,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,83.0,67.0,100.0,65.0,100.0,35.0,82.0
2023-01-07,ZCH03NNR,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,83.0,67.0,100.0,65.0,100.0,35.0,81.0
2023-01-08,ZCH03NNR,ST12000NM0007,12000138625024,0,79.0,89.0,100.0,83.0,67.0,100.0,66.0,100.0,34.0,79.0
2023-01-09,ZCH03NNR,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,83.0,67.0,100.0,65.0,100.0,35.0,80.0
2023-01-10,ZCH03NNR,ST12000NM0007,12000138625024,0,77.0,89.0,100.0,84.0,67.0,100.0,66.0,100.0,34.0,77.0
