date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_190_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized
2023-01-10,ZCH016HE,ST12000NM0007,12000138625024,0,84.0,91.0,100.0,86.0,63.0,100.0,77.0,100.0,23.0,84.0
2023-01-10,ZCH03NNR,ST12000NM0007,12000138625024,0,77.0,89.0,100.0,84.0,67.0,100.0,66.0,100.0,34.0,77.0
2023-01-10,ZCH03XDN,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,87.0,67.0,100.0,58.0,100.0,42.0,81.0
2023-01-10,ZCH05317,ST12000NM0007,12000138625024,0,78.0,90.0,100.0,89.0,47.0,91.0,66.0,99.0,34.0,78.0
2023-01-10,ZCH05JXQ,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,90.0,54.0,100.0,67.0,93.0,33.0,83.0
2023-01-10,ZCH05KHR,ST12000NM0007,12000138625024,0,79.0,89.0,100.0,90.0,47.0,100.0,63.0,99.0,37.0,79.0
2023-01-10,ZCH05KHV,ST12000NM0007,12000138625024,0,65.0,89.0,100.0,84.0,47.0,100.0,72.0,99.0,28.0,65.0
2023-01-10,ZCH05LHY,ST12000NM0007,12000138625024,0,76.0,89.0,98.0,90.0,47.0,100.0,61.0,99.0,39.0,82.0
2023-01-10,ZCH05LJZ,ST12000NM0007,12000138625024,0,73.0,89.0,100.0,88.0,69.0,100.0,61.0,100.0,39.0,73.0
2023-01-10,ZCH05LYL,ST12000NM0007,12000138625024,0,83.0,94.0,100.0,83.0,47.0,100.0,68.0,99.0,32.0,83.0
2023-01-10,ZCH05M9N,ST12000NM0007,12000138625024,0,81.0,90.0,100.0,79.0,47.0,100.0,66.0,99.0,34.0,81.0
2023-01-10,ZCH05TTR,ST12000NM0007,12000138625024,0,78.0,89.0,100.0,90.0,54.0,100.0,68.0,92.0,32.0,78.0
2023-01-10,ZCH060HC,ST12000NM0007,12000138625024,0,76.0,90.0,100.0,90.0,47.0,100.0,69.0,99.0,31.0,76.0
2023-01-10,ZCH060HX,ST12000NM0007,12000138625024,0,77.0,90.0,100.0,82.0,47.0,100.0,67.0,99.0,33.0,77.0
2023-01-10,ZCH060R4,ST12000NM0007,12000138625024,0,78.0,91.0,100.0,89.0,47.0,100.0,66.0,99.0,34.0,78.0
2023-01-10,ZCH066MF,ST12000NM0007,12000138625024,0,70.0,89.0,100.0,89.0,50.0,100.0,60.0,99.0,40.0,70.0
2023-01-10,ZCH06717,ST12000NM0007,12000138625024,0,82.0,90.0,93.0,84.0,47.0,13.0,68.0,99.0,32.0,82.0
2023-01-10,ZCH06899,ST12000NM0007,12000138625024,0,71.0,89.0,100.0,90.0,47.0,100.0,59.0,99.0,41.0,71.0
2023-01-10,ZCH068D6,ST12000NM0007,12000138625024,0,82.0,90.0,100.0,89.0,47.0,100.0,68.0,99.0,32.0,82.0
2023-01-10,ZCH068MS,ST12000NM0007,12000138625024,0,71.0,92.0,100.0,82.0,47.0,100.0,66.0,99.0,34.0,71.0
2023-01-10,ZCH06VE2,ST12000NM0007,12000138625024,0,79.0,94.0,100.0,83.0,71.0,100.0,74.0,100.0,26.0,79.0
2023-01-10,ZCH0A5X4,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,87.0,59.0,100.0,64.0,100.0,36.0,80.0
2023-01-10,ZCH0B53V,ST12000NM0007,12000138625024,0,83.0,90.0,100.0,86.0,54.0,100.0,66.0,93.0,34.0,32.0
2023-01-10,ZCH0CAKT,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,86.0,74.0,100.0,64.0,100.0,36.0,81.0
2023-01-10,ZCH0D5CZ,ST12000NM0007,12000138625024,0,83.0,90.0,100.0,84.0,60.0,100.0,71.0,99.0,29.0,83.0
2023-01-10,ZCH0D6K0,ST12000NM0007,12000138625024,0,83.0,96.0,75.0,88.0,60.0,1.0,63.0,99.0,37.0,83.0
2023-01-10,ZCH0DJV4,ST12000NM0007,12000138625024,0,79.0,89.0,100.0,82.0,76.0,100.0,75.0,100.0,25.0,79.0
2023-01-10,ZCH0EE8C,ST12000NM0007,12000138625024,0,78.0,89.0,100.0,88.0,67.0,100.0,62.0,100.0,38.0,78.0
2023-01-10,ZCH0GA5C,ST12000NM0007,12000138625024,0,75.0,92.0,100.0,89.0,67.0,100.0,76.0,100.0,24.0,75.0
2023-01-10,ZCH0GBE8,ST12000NM0007,12000138625024,0,78.0,90.0,100.0,89.0,67.0,100.0,74.0,100.0,26.0,78.0
2023-01-10,ZCH0H28V,ST12000NM0007,12000138625024,0,83.0,96.0,100.0,86.0,67.0,100.0,72.0,100.0,28.0,83.0
2023-01-10,ZJV007ZH,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,86.0,67.0,100.0,74.0,100.0,26.0,83.0
2023-01-10,ZJV00QMT,ST12000NM0007,12000138625024,0,80.0,96.0,100.0,89.0,72.0,100.0,79.0,100.0,21.0,80.0
2023-01-10,ZJV0215V,ST12000NM0007,12000138625024,0,82.0,95.0,100.0,84.0,87.0,100.0,69.0,99.0,31.0,82.0
2023-01-10,ZJV02FB4,ST12000NM0007,12000138625024,0,76.0,99.0,100.0,87.0,68.0,100.0,79.0,100.0,21.0,76.0
2023-01-10,ZJV02ZZG,ST12000NM0007,12000138625024,0,80.0,96.0,100.0,86.0,75.0,100.0,61.0,100.0,39.0,80.0
2023-01-10,ZJV043KL,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,85.0,67.0,100.0,72.0,100.0,28.0,83.0
2023-01-10,ZJV043KW,ST12000NM0007,12000138625024,0,75.0,90.0,100.0,85.0,67.0,100.0,79.0,100.0,21.0,75.0
2023-01-10,ZJV04PSN,ST12000NM0007,12000138625024,0,79.0,89.0,100.0,87.0,67.0,100.0,76.0,100.0,24.0,79.0
