date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2023-01-10,ZCH016HE,ST12000NM0007,12000138625024,0,229751880.0,7.0,0.0,367691274.0,32504.0,7.0,0.0,0.0,23.0,345.0,1443.0,23.0,229751880.0,0.0,0.0,0.0,32341.0,93302887048.0,350530763854.0
2023-01-10,ZCH03NNR,ST12000NM0007,12000138625024,0,55082920.0,20.0,0.0,225632205.0,29009.0,20.0,0.0,0.0,34.0,358.0,1582.0,34.0,55082920.0,0.0,0.0,0.0,28746.0,96118940776.0,379034367462.0
2023-01-10,ZCH03XDN,ST12000NM0007,12000138625024,0,128939552.0,24.0,0.0,458463946.0,28985.0,24.0,0.0,0.0,42.0,374.0,1566.0,42.0,128939552.0,0.0,0.0,0.0,28757.0,96186339848.0,424695165470.0
2023-01-10,ZCH05317,ST12000NM0007,12000138625024,0,59492512.0,9.0,32.0,878679926.0,46907.0,8.0,9.0,0.0,34.0,642.0,2293.0,34.0,59492512.0,0.0,0.0,0.0,46603.0,122009026240.0,586791132222.0
2023-01-10,ZCH05JXQ,ST12000NM0007,12000138625024,0,208739616.0,19.0,0.0,928574570.0,40788.0,19.0,0.0,0.0,33.0,502.0,15714.0,33.0,208739616.0,0.0,0.0,0.0,36933.0,115184508784.0,458320140036.0
2023-01-10,ZCH05KHR,ST12000NM0007,12000138625024,0,88687104.0,38.0,0.0,904751499.0,46915.0,37.0,0.0,0.0,37.0,612.0,2250.0,37.0,88687104.0,0.0,0.0,0.0,46607.0,121331346920.0,609958992508.0
2023-01-10,ZCH05KHV,ST12000NM0007,12000138625024,0,3401280.0,16.0,0.0,237814752.0,46919.0,15.0,0.0,0.0,28.0,561.0,2163.0,28.0,3401280.0,0.0,0.0,0.0,46644.0,121780509936.0,618701851858.0
2023-01-10,ZCH05LHY,ST12000NM0007,12000138625024,0,146117224.0,19.0,10160.0,993035245.0,46912.0,18.0,0.0,0.0,39.0,590.0,2218.0,39.0,146117224.0,0.0,0.0,0.0,46642.0,121796659968.0,609551057806.0
2023-01-10,ZCH05LJZ,ST12000NM0007,12000138625024,0,19881456.0,62.0,0.0,664374308.0,27629.0,63.0,0.0,0.0,39.0,401.0,1387.0,39.0,19881456.0,0.0,0.0,0.0,27444.0,162004920896.0,374239578654.0
2023-01-10,ZCH05LYL,ST12000NM0007,12000138625024,0,205316616.0,5.0,0.0,215388207.0,46928.0,4.0,0.0,0.0,32.0,647.0,2216.0,32.0,205316616.0,0.0,0.0,0.0,46630.0,121423711184.0,622190241380.0
2023-01-10,ZCH05M9N,ST12000NM0007,12000138625024,0,133085864.0,18.0,0.0,82941758.0,46922.0,17.0,0.0,0.0,34.0,555.0,2236.0,34.0,133085864.0,0.0,0.0,0.0,46607.0,122088131176.0,630975003118.0
2023-01-10,ZCH05TTR,ST12000NM0007,12000138625024,0,60262808.0,28.0,0.0,968059730.0,40601.0,29.0,0.0,4295032833.0,32.0,468.0,16139.0,32.0,60262808.0,0.0,0.0,0.0,36621.0,142107525139.0,469345563024.0
2023-01-10,ZCH060HC,ST12000NM0007,12000138625024,0,42211624.0,10.0,0.0,955322121.0,46920.0,9.0,0.0,0.0,31.0,598.0,2178.0,31.0,42211624.0,0.0,0.0,0.0,46624.0,121950822616.0,615152360862.0
2023-01-10,ZCH060HX,ST12000NM0007,12000138625024,0,51534448.0,11.0,0.0,148194654.0,46916.0,10.0,0.0,0.0,33.0,591.0,2220.0,33.0,51534448.0,0.0,0.0,0.0,46636.0,121704428472.0,599783145546.0
2023-01-10,ZCH060R4,ST12000NM0007,12000138625024,0,60635816.0,7.0,0.0,887106902.0,46926.0,6.0,0.0,0.0,34.0,652.0,2155.0,34.0,60635816.0,0.0,0.0,0.0,46657.0,121831411472.0,617243363180.0
2023-01-10,ZCH066MF,ST12000NM0007,12000138625024,0,10432424.0,15.0,0.0,742105028.0,43862.0,14.0,0.0,0.0,40.0,509.0,2095.0,40.0,10432424.0,0.0,0.0,0.0,43599.0,119842977256.0,576456964686.0
2023-01-10,ZCH06717,ST12000NM0007,12000138625024,0,148361912.0,11.0,29680.0,259386170.0,46916.0,10.0,87.0,0.0,32.0,545.0,2158.0,32.0,148361912.0,0.0,0.0,0.0,46650.0,121968532856.0,638678335546.0
2023-01-10,ZCH06899,ST12000NM0007,12000138625024,0,13502440.0,33.0,0.0,893083817.0,46908.0,32.0,0.0,0.0,41.0,595.0,2249.0,41.0,13502440.0,0.0,0.0,0.0,46591.0,121957438584.0,595585777728.0
2023-01-10,ZCH068D6,ST12000NM0007,12000138625024,0,144928856.0,14.0,0.0,882038353.0,46916.0,13.0,0.0,0.0,32.0,615.0,2174.0,32.0,144928856.0,0.0,0.0,0.0,46634.0,122079098576.0,612929498116.0
2023-01-10,ZCH068MS,ST12000NM0007,12000138625024,0,12551960.0,7.0,0.0,175603726.0,46917.0,6.0,0.0,0.0,34.0,601.0,2216.0,34.0,12551960.0,0.0,0.0,0.0,46618.0,121380032560.0,623017704908.0
2023-01-10,ZCH06VE2,ST12000NM0007,12000138625024,0,79960736.0,5.0,0.0,194280062.0,25419.0,5.0,0.0,0.0,26.0,373.0,1088.0,26.0,79960736.0,0.0,0.0,0.0,25298.0,83458437936.0,306270739616.0
2023-01-10,ZCH0A5X4,ST12000NM0007,12000138625024,0,110490104.0,21.0,0.0,456606310.0,36007.0,21.0,0.0,0.0,36.0,526.0,1703.0,36.0,110490104.0,0.0,0.0,0.0,35800.0,103940469160.0,398855952954.0
2023-01-10,ZCH0B53V,ST12000NM0007,12000138625024,0,190464068.0,15.0,0.0,438904821.0,41065.0,14.0,0.0,0.0,34.0,642.0,14784.0,34.0,190464068.0,0.0,0.0,0.0,37522.0,99294579996.0,512517995872.0
2023-01-10,ZCH0CAKT,ST12000NM0007,12000138625024,0,130366072.0,14.0,0.0,416523144.0,23110.0,13.0,0.0,4295032833.0,36.0,385.0,1001.0,36.0,130366072.0,0.0,0.0,0.0,22993.0,67137858696.0,320933238156.0
2023-01-10,ZCH0D5CZ,ST12000NM0007,12000138625024,0,179841976.0,9.0,0.0,13691878632.0,35231.0,9.0,0.0,0.0,29.0,458.0,2271.0,29.0,179841976.0,0.0,0.0,0.0,34863.0,103528120656.0,339034842122.0
2023-01-10,ZCH0D6K0,ST12000NM0007,12000138625024,0,201526552.0,3.0,32944.0,578025659.0,35526.0,3.0,112.0,4295032833.0,37.0,504.0,2482.0,37.0,201526552.0,0.0,0.0,0.0,34998.0,100638998008.0,312892970284.0
